week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2021-11-08,368,22943,13371,9572,18,73.83,34.5,6.25,59.25,1329,661
2021-11-15,260,16596,10355,6241,19,181.63,40.0,22.0,198.5,3451,984
2021-11-22,208,13261,8745,4516,15,181.27,19.0,6.5,156.0,2719,1204
2021-11-29,195,6997,5129,1868,10,11.4,9.0,5.25,12.0,114,42
2021-12-06,291,24385,13640,10745,31,96.39,32.0,6.0,109.5,2988,663
2021-12-13,223,37718,34563,3155,38,854.53,36.5,6.25,126.25,32472,29227
2021-12-20,71,2779,1924,855,9,112.22,63.0,7.0,169.0,1010,445
2021-12-27,115,21225,10984,10241,7,234.14,28.0,11.5,394.0,1639,797
2022-01-03,262,15129,9808,5321,21,170.1,49.0,12.0,76.0,3572,1320
2022-01-10,341,21014,13998,7016,30,158.9,60.5,17.0,258.5,4767,880
2022-01-17,436,28317,15990,12327,54,148.41,50.5,18.5,131.5,8014,1849
2022-01-24,295,10210,6717,3493,24,92.71,30.0,14.0,82.0,2225,840
2022-01-31,435,39532,21587,17945,58,91.52,41.0,8.5,118.75,5308,801
2022-02-07,331,18298,11395,6903,29,104.9,14.0,3.0,132.0,3042,974
2022-02-14,259,60920,40589,20331,25,2077.64,24.0,10.0,69.0,51941,50499
2022-02-21,311,10067,6007,4060,27,69.22,25.0,6.0,55.0,1869,923
2022-02-28,245,8738,4598,4140,25,28.16,12.0,4.0,36.0,704,179
2022-03-07,288,20197,13674,6523,23,186.91,15.0,6.5,49.5,4299,2228
2022-03-14,437,22461,14270,8191,35,74.6,32.0,10.5,90.5,2611,523
2022-03-21,339,8091,5451,2640,29,15.69,10.0,5.0,16.0,455,100
2022-03-28,326,23098,13419,9679,31,46.13,17.0,4.5,73.0,1430,192
2022-04-04,281,13736,8130,5606,38,94.29,20.0,7.0,88.25,3583,1034
2022-04-11,175,11495,6819,4676,8,83.75,21.0,5.0,173.75,670,233
2022-04-18,148,20435,11776,8659,0,0.0,0.0,0.0,0.0,0,0
2022-04-25,152,3635,2438,1197,23,27.78,17.0,4.0,28.5,639,208
2022-05-02,255,13025,9594,3431,83,48.65,10.0,4.5,49.0,4038,598
2022-05-09,182,14772,9756,5016,80,86.08,14.5,3.75,44.5,6886,2204
2022-05-16,218,19055,11990,7065,96,109.0,11.0,3.0,58.0,10464,3399
2022-05-23,205,11855,7748,4107,80,90.19,13.0,4.0,71.75,7215,1327
2022-05-30,157,6362,4426,1936,96,30.91,9.0,2.0,18.0,2967,723
2022-06-06,236,31392,17473,13919,141,100.38,14.0,4.0,47.0,14153,2559
2022-06-13,333,24626,14711,9915,165,95.89,26.0,7.0,88.0,15822,1210
2022-06-20,330,19287,12293,6994,189,77.53,17.0,6.0,75.0,14654,1632
2022-06-27,222,11736,8003,3733,137,44.95,12.0,4.0,41.0,6158,1162
2022-07-04,272,13779,7063,6716,113,77.44,22.0,5.0,72.0,8751,1448
2022-07-11,246,14332,7664,6668,135,73.78,12.0,4.0,40.0,9960,2223
2022-07-18,258,17386,10002,7384,150,85.78,14.0,4.0,52.75,12867,2935
2022-07-25,209,5491,3600,1891,114,32.84,10.0,4.0,29.5,3744,484
2022-08-01,252,12453,5895,6558,159,60.47,17.0,5.0,56.0,9615,904
2022-08-08,223,10167,7110,3057,108,72.33,17.0,5.5,51.0,7812,1223
2022-08-15,211,9163,6352,2811,103,52.37,16.0,4.5,54.0,5394,841
2022-08-22,221,6592,4096,2496,103,26.87,8.0,2.0,25.0,2768,341
2022-08-29,238,17136,9293,7843,109,97.4,14.0,6.0,77.0,10617,1641
2022-09-05,196,15636,8981,6655,117,105.32,27.0,4.0,93.0,12323,1056
2022-09-12,216,15251,8920,6331,117,103.79,16.0,4.0,82.0,12143,2218
2022-09-19,211,29948,23848,6100,129,101.63,16.0,5.0,66.0,13110,1953
2022-09-26,261,8405,4891,3514,178,37.16,10.0,3.25,27.0,6614,986
2022-10-03,244,12599,7617,4982,131,61.63,18.0,4.0,63.0,8074,654
2022-10-10,210,24137,14063,10074,153,127.06,23.0,6.0,82.0,19440,2505
2022-10-17,261,20425,11392,9033,161,83.42,18.0,6.0,59.0,13431,3507
2022-10-24,174,8047,4922,3125,130,60.2,12.0,4.0,42.5,7826,1061
2022-10-31,203,26075,12382,13693,173,110.75,19.0,6.0,65.0,19160,6840
2022-11-07,213,15380,11479,3901,116,81.13,15.0,5.0,37.25,9411,4395
2022-11-14,345,30849,18539,12310,166,145.73,27.5,7.25,97.25,24191,3913
2022-11-21,166,6615,4266,2349,124,50.52,16.5,4.0,50.0,6265,843
2022-11-28,175,11953,5138,6815,128,74.05,9.0,4.0,24.75,9478,6013
2022-12-05,290,75008,55555,19453,222,327.44,8.0,3.0,25.0,72691,66992
2022-12-12,287,10670,6735,3935,172,51.2,11.5,4.0,34.5,8807,3109
2022-12-19,222,16740,7459,9281,124,61.7,13.0,4.0,66.75,7651,644
2022-12-26,128,5396,3543,1853,78,54.9,16.5,5.0,45.25,4282,619
2023-01-02,115,5177,3306,1871,55,81.24,18.0,5.5,92.0,4468,825
2023-01-09,218,20738,12687,8051,122,113.46,18.0,3.25,54.5,13842,1444
2023-01-16,241,15224,9352,5872,151,70.46,24.0,6.0,65.0,10640,992
2023-01-23,209,6149,3298,2851,166,34.53,6.0,2.0,20.75,5732,595
2023-01-30,290,19220,11087,8133,174,66.91,13.0,4.0,42.75,11643,2172
